                            Option1                 Option2                 Option3                  Option4                0ption5                 Option6
Task Predec            Dur	Cost         Dur        Cost	Dur	Cost        Dur         Cost        Dur         Cost        Dur	Cost	

73	65	20	50750	18	53100	14	54950	12	57050	9	57650	6	59500
74	66	31	9000	29	11350	26	12450	24	12800	21	13650	18	14250
75   67,68,69	23	36250	20	38850	16	41450	13	42050	12	43900	10	46750
76	70, 71	35	21250	33	23350	32	25200	31	26050	29	27400	26	28750
77	72	42	47000	40	47850	9	49450	36	50550	33	51400	32	52000
78	73, 74	29	41000	27	41850	24	44450	22	46050	21	47900	19	49250
79	75	44	38750	41	40850	39	41200	35	41300	34	42400	31	44000
80	76, 77	26	35000	22	37850	19	38700	16	39050	13	39900	10	42250
81	78, 79	34	34750	31	35850	27	38200	25	39550	21	40150	20	40500



