              Option1 Option2     Option3    Option4   Option5
Task Predec Dur Cost Dur Cost    Dur Cost   Dur Cost   Dur Cost	

56	49	44	20000	42	20750	41	22250	38	23750	37	26750
57	50	23	21500	21	23750	20	25250	17	26750	15	29000
58	51	31	48500	29	50750	26	51500	24	54500	21	55250
59	52	24	11000	22	14750	21	15500	19	18500	18	19250
60	53	32	9500	30	10250	28	11750	27	14000	26	16250
61	54	29	20000	27	23000	25	26000	24	28250	21	33500
62	55	47	48500	45	50000	43	52250	42	53750	40	56750
63	56	25	44000	24	44750	22	47000	21	47750	19	51500
64	57	34	12500	31	15500	28	18500	25	20750	23	23750
65	58	35	15500	33	17750	30	19250	28	22250	25	27500
66	59	36	12500	33	14750	30	18500	28	22250	27	23000
67	60	34	21500	33	23000	31	26750	28	29000	27	32000
68	61	40	47000	39	48500	37	50000	34	51500	31	55250
69	62	20	38000	19	39500	17	41750	15	45500	13	50000
70	63	27	12500	24	17750	21	21500	19	24500	17	27500
71	64	27	15500	24	16250	23	17750	21	20750	19	25250
72	65	25	14000	24	15500	22	17000	20	20750	18	25250
73	66	20	17000	19	18500	17	21500	16	23750	15	26750
74	67	49	33500	48	35000	45	38750	43	39500	41	41000
75	68	28	48500	26	51500	24	53750	21	56750	19	61250
76	69	28	38000	27	38750	25	41000	23	41750	21	44750
77	70	44	42500	42	43250	40	44750	37	49250	36	51500
78	70	32	41000	31	43250	30	44000	29	45500	27	47000
79	71	42	35000	39	38750	38	41000	36	41750	34	45500
80	71	33	20000	32	21500	31	22250	30	23000	27	25250
81	72	47	14000	45	15500	44	17000	43	18500	40	20750
82	72	40	9500	37	13250	36	15500	35	17000	32	20000
83	73	48	12500	45	15500	44	17000	41	20000	39	23000
84	73	35	20000	32	20750	29	25250	26	27500	24	30500
85	74	48	47000	47	47750	45	49250	43	50750	40	58250
86	74	38	14000	36	15500	34	19250	33	20750	30	26000
87	75	47	9500	45	12500	42	14000	40	17750	37	18500
88	75	30	32000	27	35750	26	37250	24	40250	23	43250
89	76	24	24500	21	26750	18	30500	15	35000	13	40250
90	76	48	26000	47	26750	44	29000	42	32000	40	34250
91	77	27	18500	24	19250	22	20000	19	23000	18	25250
92	77	41	36500	40	38750	37	42500	35	43250	34	44000
93	78	46	11000	44	13250	41	17000	40	18500	38	21500
94	78	38	35000	37	36500	35	37250	33	40250	30	41750
95	79	36	26000	35	28250	33	29000	32	30500	29	35000
96	80	34	39500	32	40250	31	41750	29	44000	27	47000
97	81	23	23000	21	25250	18	29750	16	32750	15	35000
98	82	35	33500	34	34250	32	35750	31	37250	29	41750
99	83	30	23000	27	24500	24	29000	22	31250	20	34250
100	84	50	38000	48	40250	47	41750	44	44000	41	47750
101	85	22	15500	19	17000	17	20750	15	21500	13	25250
102	86	41	18500	39	20750	37	22250	35	26000	32	32750
103	87	49	18500	48	20000	47	21500	45	23750	44	26750
104	88	20	41000	19	42500	17	43250	15	47000	13	47750
105	89	34	29000	31	32000	29	35750	26	36500	25	37250
106	90	22	12500	21	14750	19	16250	16	19250	14	23000
107	91	49	11000	47	14000	44	17750	42	20000	39	25250
108	92	30	29000	28	29750	25	32750	24	35000	22	40250
109	93	21	42500	19	44000	16	45500	15	46250	12	49250
110	94	29	39500	28	40250	26	41000	24	43250	22	46250
111	95	43	30500	42	32000	40	32750	39	34250	37	35750
112	96,97	46	6500	44	9500	42	12500	41	14750	39	19250
113	98	30	44000	28	46250	25	48500	23	50750	20	56000
114	99	31	6500	29	7250	27	8750	25	11000	23	14750
115	100	43	29000	41	30500	40	32000	39	33500	37	37250
116	101	49	17000	46	18500	44	20750	42	23750	39	28250
117	102	24	15500	22	17750	21	20000	20	20750	17	22250
118	103	44	42500	42	45500	39	49250	38	50000	35	53000
119	104	25	32000	24	33500	21	38750	19	41000	17	42500
120	105	41	26000	39	27500	37	29750	35	31250	34	33500
121	106	31	35000	28	39500	25	43250	24	45500	22	48500
122	107	34	23000	31	26750	29	30500	28	32000	26	36500
123	108	36	48500	35	49250	33	50750	31	53000	30	55250
124	109,110	26	21500	24	23000	22	25250	21	27500	20	29000
125	111	27	14000	26	15500	23	16250	22	17750	21	20750
126	112,113	43	44000	41	45500	40	47750	38	51500	37	54500
127	114	47	26000	45	27500	44	29750	42	31250	40	34250
128	115	21	33500	20	35750	18	38000	16	41750	14	46250
129	116	21	32000	18	33500	15	38000	14	39500	13	41000
130	117	48	26000	46	28250	45	29000	43	30500	41	32000
131	118	45	36500	43	39500	42	41750	39	44000	37	45500
132	119	38	35000	36	36500	35	37250	33	38000	30	40250
133	120	21	33500	19	35750	17	38750	16	40250	14	41750
134	121	30	21500	28	24500	26	27500	25	29000	22	31250
135	122	47	39500	44	41750	42	44000	40	45500	39	47750
136	123,124	25	14000	23	17000	21	17750	18	19250	16	23750
137	125,126	23	17000	20	20750	17	23750	15	26750	13	29000
138	127	42	23000	40	24500	39	26000	38	26750	36	28250
139	128	45	35000	43	36500	42	38000	40	38750	38	43250
140	129	34	33500	32	36500	30	40250	28	41750	25	43250
141	130	36	8000	34	9500	32	11000	30	14000	28	19250
142	131	41	14000	38	17000	36	20000	34	23000	32	26750
143	132	34	35000	33	35750	31	38750	28	42500	26	46250
144	133	24	8000	23	9500	22	11000	20	12500	18	16250
145	134	45	33500	43	36500	41	39500	39	41750	37	42500
146	135,136	30	29000	27	29750	25	32000	24	33500	22	38750

	
